"IDm","IDw","FormTime","DisTime","AgeGap"
59,792,0.0064682753,0.0108905338,3.0061304277
297,817,0.0240896687,0.0303946407,0.3054676896
453,770,0.0120410385,0.0360969521,1.4677543343
162,837,0.0012275576,0.0517771770,3.4681172633
429,711,0.0123894840,0.0542238779,-0.8129359257
337,828,0.0462597925,0.1111098307,2.5076092854
2,665,0.0383803544,0.1854703767,3.3091897253
50,799,0.1110005821,0.2264637065,3.1593403767
344,580,0.1045662944,0.2374627449,1.0798133954
449,604,0.1303606513,0.2464838362,-0.8015927317
353,591,0.1313259921,0.2513152211,0.8165761757
361,590,0.0601529842,0.2666151724,3.6814195305
199,639,0.1526422277,0.2691931607,-0.4135061849
3,794,0.1770110611,0.2715924416,1.7307430785
302,545,0.0840457524,0.2816351762,-1.4737362665
437,675,0.0316661915,0.2965499456,2.6492943650
230,1000,0.0556874260,0.3068663345,3.2275680834
183,630,0.1181382221,0.3097983690,1.3754008221
460,737,0.0292066880,0.3146493742,6.4515346381
189,836,0.1788834693,0.3232951265,3.9870806775
363,960,0.2818778557,0.3344164426,2.4446388777
298,834,0.1444660456,0.3430528575,3.2276002572
96,750,0.1109809271,0.3474984997,2.8045224187
284,954,0.2045009762,0.3515841237,2.3291553061
124,866,0.2590933208,0.3679192954,2.3878190175
358,803,0.2149368056,0.3989853007,1.5067876535
335,638,0.2959462175,0.4005777178,4.1439727735
180,866,0.3185348828,0.4143772317,3.5931495129
338,868,0.2915486357,0.4147218189,2.0730213841
355,755,0.4018944262,0.4157206441,1.7753969585
87,593,0.1565279337,0.4166829851,2.1710305643
212,931,0.1173177418,0.4167913175,4.6284130885
365,635,0.1877013532,0.4204871572,3.1272557849
286,759,0.1204843306,0.4241686449,2.4137914467
294,762,0.3662707442,0.4260225713,2.9008009072
99,857,0.3293965337,0.4288733462,5.1725046252
200,742,0.0682446262,0.4338775771,3.3403216843
495,506,0.1692137830,0.4383199732,4.0616729054
109,906,0.0210324582,0.4408892039,2.8694874964
476,591,0.4317250551,0.4412032222,2.4925068778
84,643,0.1549535772,0.4599974825,3.8213084511
441,734,0.3663586339,0.4630685830,2.3270512363
203,521,0.0160069434,0.4696045198,3.0211593177
52,836,0.0857494314,0.4700758599,2.7048420658
142,686,0.3072698973,0.4801421798,4.7217505874
82,603,0.3497135744,0.4854717037,2.5858348822
215,636,0.0209507794,0.4873298860,2.7961498049
357,583,0.2106590821,0.4962034498,3.8020523047
164,615,0.1324215111,0.5037434607,2.9944252134
193,842,0.1601441203,0.5064980610,3.8452131749
279,922,0.3761118964,0.5092032246,2.4617963277
79,786,0.4619230218,0.5142945418,2.7220854563
